"x"
"CMI"
"KVUE"
"SRE"
"TEL"
"HES"
"YUM"
"EXC"
"MSCI"
"FAST"
"TRGP"
"KR"
"CCI"
"GWW"
"BKR"
"CTVA"
"VLO"
"VST"
"ROST"
"EW"
"URI"
"DFS"
"VRSK"
"AME"
"PRU"
"KDP"
"OTIS"
"PEG"
"AXON"
"MNST"
"F"
"LHX"
"XEL"
"FIS"
"CBRE"
"CTSH"
"PWR"
"LULU"
"PCG"
"ED"
"CHTR"
"GEHC"
"DHI"
"GLW"
"ETR"
"ACGL"
"SYY"
"TTWO"
"HIG"
"EA"
"IDXX"
"A"
"CSGP"
"WTW"
"VICI"
"OXY"
"WEC"
"GRMN"
"IT"
"IR"
"RMD"
"HUM"
"GIS"
"CAH"
"NDAQ"
"WAB"
"DD"
"ODFL"
"EQT"
"EBAY"
"VMC"
"EXR"
"DAL"
"FANG"
"AVB"
"ROK"
"MTB"
"IQV"
"DELL"
"CNC"
"EFX"
"XYL"
"NUE"
"VTR"
"MLM"
"IP"
"BRO"
"TSCO"
"MPWR"
"STZ"
"ANSS"
"DXCM"
"DTE"
"MCHP"
"BR"
"LEN"
"AWK"
"KEYS"
"FITB"
"HPQ"
"STT"
"AEE"
"RJF"
"CHD"
"PPG"
"KHC"
"GDDY"
"FTV"
"UAL"
"TPL"
"IRM"
"PPL"
"DOV"
"DOW"
"MTD"
"HSY"
"CPAY"
"GPN"
"TYL"
"WBD"
"DVN"
"EQR"
"DRI"
"VLTO"
"ATO"
"TDY"
"CNP"
"EXE"
"SBAC"
"CINF"
"CBOE"
"ADM"
"SW"
"EIX"
"CDW"
"HAL"
"K"
"HBAN"
"ZBH"
"ES"
"CMS"
"STE"
"NVR"
"WAT"
"CCL"
"SYF"
"WY"
"EXPE"
"PHM"
"CTRA"
"HPE"
"TROW"
"BIIB"
"LUV"
"WSM"
"MKC"
"RF"
"VRSN"
"LYV"
"NTRS"
"IFF"
"NRG"
"ESS"
"FE"
"WRB"
"LH"
"PTC"
"INVH"
"MAA"
"ON"
"NTAP"
"NI"
"SMCI"
"HUBB"
"DG"
"LII"
"PODD"
"DGX"
"STX"
"LYB"
"CFG"
"STLD"
"PFG"
"DECK"
"MOH"
"LDOS"
"PKG"
"SNA"
"CLX"
"TSN"
"ULTA"
"BAX"
"TRMB"
"FDS"
"EXPD"
"COO"
"GPC"
"WST"
"KEY"
"LNT"
"DPZ"
"L"
"OMC"
"JBL"
"EG"
"FFIV"
"EVRG"
"EL"
"BALL"
"TPR"
"J"
"APTV"
"GEN"
"ROL"
"MAS"
"PNR"
"BLDR"
"ZBRA"
"ARE"
"WDC"
"BBY"
"TER"
"AVY"
"KIM"
"DOC"
"DLTR"
"IEX"
"AMCR"
"LVS"
"HOLX"
"TXT"
"FSLR"
"UDR"
"CF"
"JKHY"
"RVTY"
"CPT"
"POOL"
"CAG"
"AKAM"
"SJM"
"SWK"
"JBHT"
"FOXA"
"CHRW"
"REG"
"JNPR"
"ALGN"
"KMX"
"ALLE"
"NDSN"
"GL"
"AIZ"
"UHS"
"SWKS"
"VTRS"
"MRNA"
"LKQ"
"PNW"
"ERIE"
"PAYC"
"TAP"
"NWSA"
"EMN"
"HST"
"TKO"
"SOLV"
"BXP"
"EPAM"
"BG"
"IPG"
"INCY"
"DAY"
"TECH"
"RL"
"ALB"
"NCLH"
"AES"
"HSIC"
"HRL"
"MOS"
"MKTX"
"CRL"
"HAS"
"AOS"
"MTCH"
"HII"
"WBA"
"ENPH"
"GNRC"
"APA"
"CPB"
"WYNN"
"LW"
"FRT"
"MGM"
"IVZ"
"PARA"
"FOX"
"DVA"
"BF-B"
"BEN"
"MHK"
"CZR"
"NWS"
